Employee ID,Department,Tasks Completed,Hours Worked
1,HR,43,38
2,Finance,15,24
3,IT,31,41
4,Finance,20,44
5,Finance,25,48
6,Marketing,42,33
7,IT,18,47
8,IT,15,24
9,IT,25,34
10,Finance,38,36
11,HR,12,49
12,IT,29,33
13,Finance,45,49
14,Marketing,28,39
15,HR,35,24
16,Marketing,12,31
17,HR,28,35
18,Finance,29,45
19,Sales,41,45
20,HR,16,35
21,Marketing,42,40
22,Finance,49,26
23,HR,48,23
24,Sales,27,20
25,Sales,49,49
26,IT,10,49
27,IT,20,24
28,Marketing,37,42
29,HR,34,45
30,HR,32,29
31,IT,40,41
32,HR,39,24
33,HR,44,23
34,Sales,16,21
35,IT,25,39
36,Finance,35,29
37,IT,11,45
38,Finance,10,38
39,Sales,21,45
40,Marketing,14,20
41,HR,46,43
42,Sales,41,24
43,HR,18,32
44,Marketing,44,23
45,Marketing,28,35
46,Sales,25,43
47,Marketing,12,35
48,Finance,29,42
49,Marketing,33,21
50,HR,42,36
51,HR,33,47
52,HR,20,46
53,HR,17,39
54,Finance,45,43
55,IT,47,31
56,Sales,49,37
57,HR,29,22
58,Marketing,44,47
59,HR,34,20
60,Marketing,44,20
61,Marketing,34,48
62,HR,38,38
63,Finance,27,30
64,Marketing,27,24
65,Marketing,11,31
66,HR,44,22
67,Marketing,25,20
68,Marketing,45,20
69,HR,42,27
70,HR,13,29
71,Sales,42,30
72,Finance,23,31
73,Finance,30,48
74,Marketing,29,32
75,Finance,17,31
76,Marketing,16,33
77,Sales,12,21
78,HR,26,48
79,HR,42,38
80,HR,21,37
81,Finance,31,22
82,Sales,31,42
83,Finance,39,36
84,Finance,47,45
85,Sales,47,27
86,Sales,17,48
87,Sales,36,45
88,Sales,36,29
89,HR,43,45
90,IT,30,49
91,IT,39,21
92,Sales,42,38
93,IT,37,28
94,IT,42,26
95,Sales,14,23
96,IT,28,45
97,Finance,13,40
98,Marketing,44,37
99,Marketing,26,32
100,Sales,37,30
101,HR,39,48
102,Sales,38,43
103,HR,15,23
104,Marketing,44,44
105,Sales,46,40
106,Finance,33,48
107,IT,38,44
108,HR,40,23
109,IT,44,29
110,IT,42,24
111,Sales,30,28
112,IT,41,43
113,Finance,32,22
114,IT,42,36
115,Sales,12,22
116,Finance,27,35
117,Marketing,34,23
118,IT,40,37
119,Sales,12,36
120,Marketing,49,26
121,Marketing,33,43
122,HR,41,42
123,Finance,31,49
124,IT,32,24
125,Sales,11,31
126,HR,36,36
127,Finance,11,42
128,HR,35,32
129,Finance,26,42
130,Finance,49,44
131,IT,42,22
132,Finance,18,28
133,HR,48,49
134,Finance,38,36
135,IT,35,36
136,IT,44,49
137,HR,34,39
138,Marketing,33,35
139,Marketing,22,44
140,Finance,16,41
141,Sales,45,32
142,Finance,29,46
143,HR,10,38
144,HR,17,36
145,HR,25,23
146,HR,23,31
147,HR,21,48
148,IT,32,28
149,Marketing,24,38
150,HR,37,31
151,Sales,43,28
152,Sales,11,26
153,Sales,41,47
154,Sales,32,33
155,IT,31,39
156,Sales,34,38
157,HR,31,45
158,Finance,31,34
159,Sales,15,35
160,IT,24,40
161,IT,46,24
162,Sales,42,22
163,Finance,17,31
164,Sales,14,44
165,IT,48,39
166,Marketing,13,46
167,HR,15,40
168,IT,41,23
169,Sales,39,40
170,HR,44,42
171,Sales,49,35
172,Sales,25,44
173,Marketing,22,26
174,HR,39,32
175,HR,28,40
176,Marketing,26,29
177,IT,28,45
178,Sales,37,26
179,Finance,35,33
180,Sales,46,45
181,Sales,35,24
182,IT,32,22
183,Sales,18,42
184,Marketing,21,48
185,Marketing,10,30
186,HR,10,30
187,Finance,43,37
188,Sales,41,34
189,Sales,34,31
190,IT,49,28
191,Marketing,10,29
192,Finance,25,45
193,HR,48,31
194,Marketing,14,36
195,HR,31,48
196,IT,38,25
197,IT,12,26
198,Sales,21,33
199,Finance,35,32
200,HR,25,27
